muN,mu1,mu2,alpha1,alpha2,beta1,beta2
7.76157694966234e-05,1.41304088257955e-05,0.00231758835898184,7.47626183077536,4.18899436336344,7.29571037705506,3.83578912297588
7.76007550079308e-05,1.47321038110287e-05,0.00175146935040137,8.61819764089961,3.76420415508975,8.45066873522163,3.28095136097141
7.76169366551015e-05,2.76204895111142e-05,0.00131974213467734,4.74486205009644,5.53734853908476,4.58017089083686,5.14688935152228
7.76048275134139e-05,3.69152107540687e-05,0.00134971661946799,2.82555169595419,6.96685050009118,2.64402145232855,6.76838569206105
7.76048275134139e-05,3.69152107540687e-05,0.00134971661946799,2.82555169595419,6.96685050009118,2.64402145232855,6.76838569206105
7.76004423252839e-05,1.54001953674445e-05,0.00177678579642203,7.26402854679299,4.76891297188569,7.08732106808056,4.34027957356226
7.76087125333091e-05,1.5911145205367e-05,0.00325159756577022,7.53016273248574,2.69190122275173,7.35834639182917,2.42552234310459
7.76059667410893e-05,3.04264741766479e-05,0.00159503183261128,2.68997254861412,4.65659170887883,2.49296057729859,4.58682229815298
7.76177902298793e-05,2.16269955640874e-05,0.000251808660277929,6.39931764106417,8.34000665870859,6.23878305643718,7.5379854712726
7.76177902298793e-05,2.16269955640874e-05,0.000251808660277929,6.39931764106417,8.34000665870859,6.23878305643718,7.5379854712726
7.76177902298793e-05,2.16269955640874e-05,0.000251808660277929,6.39931764106417,8.34000665870859,6.23878305643718,7.5379854712726
7.761799000755e-05,6.96678685370325e-05,0.000745232427712494,2.02414859522239,9.53055507287532,1.8653730814726,9.22242501831619
7.761799000755e-05,6.96678685370325e-05,0.000745232427712494,2.02414859522239,9.53055507287532,1.8653730814726,9.22242501831619
7.75988878706158e-05,2.73441783244139e-05,0.00154525067774942,4.12880493100564,6.01612004213193,3.9527659602067,5.72509777415755
7.7598802892521e-05,1.02484203470287e-05,0.00226821112638013,8.75010088583773,4.73110932412096,8.55870103442409,4.32930500496956
7.7598802892521e-05,1.02484203470287e-05,0.00226821112638013,8.75010088583773,4.73110932412096,8.55870103442409,4.32930500496956
7.75997035049081e-05,4.81143834246753e-05,0.00165811448046159,3.15466177887564,3.77871348633728,3.00221311924628,3.55763783734673
7.75997035049081e-05,4.81143834246753e-05,0.00165811448046159,3.15466177887564,3.77871348633728,3.00221311924628,3.55763783734673
7.76057244778023e-05,4.34200929121661e-05,0.00157982314353397,3.19063123780523,4.57051194543758,3.03021212974805,4.34277114614889
7.75982520989222e-05,1.44150955981974e-05,0.00182484162220543,7.93438003916929,4.3903581655652,7.75923755709458,3.9411524482739
7.75982520989222e-05,1.44150955981974e-05,0.00182484162220543,7.93438003916929,4.3903581655652,7.75923755709458,3.9411524482739
7.76279195543962e-05,5.05551853826608e-05,0.000639820901299058,3.10033408357376,7.36788819482594,2.95106095116599,6.91665933837141
7.76026920614501e-05,5.07514988915405e-05,0.00190364607566248,3.93264698525198,1.18613900622147,3.82286684337498,0.923001364802451
7.7593228883181e-05,8.81848220122583e-06,0.000788367878031194,9.53034641868648,7.90247139276868,9.33507065309487,7.17934303251795
7.75976319352568e-05,3.72017905413215e-05,0.000651040094019531,4.23641153376057,6.07602720378896,4.08747380116951,5.55755661050441
7.75970366619558e-05,3.65780664213865e-05,0.00101112435570808,3.97803857782744,5.90094941421558,3.82180611624224,5.48765439712066
7.75955876796147e-05,7.44458894350624e-05,0.000898655780947658,1.86507591935619,8.05317450486508,1.70510631605072,7.81770549381098
7.75974575727122e-05,2.31635259429724e-05,0.00281235193608299,5.77032218685366,2.70287077750579,5.60705661733452,2.4653605829405
7.75974575727122e-05,2.31635259429724e-05,0.00281235193608299,5.77032218685366,2.70287077750579,5.60705661733452,2.4653605829405
7.75976416795989e-05,6.06606871296905e-06,0.00237122824142528,8.66644964594504,6.3650282027619,8.4441658139613,6.0412317808499
7.75976416795989e-05,6.06606871296905e-06,0.00237122824142528,8.66644964594504,6.3650282027619,8.4441658139613,6.0412317808499
7.75984908424766e-05,2.53261341069448e-05,0.000319192920304162,5.94530389734024,6.65916547756674,5.79203084391006,5.92147248091878
7.75984908424766e-05,2.53261341069448e-05,0.000319192920304162,5.94530389734024,6.65916547756674,5.79203084391006,5.92147248091878
7.75977175131912e-05,2.27507229767327e-05,0.00190124462355036,4.64220734750207,5.16332644967813,4.46148241321675,4.90610140554326
7.75905828437488e-05,1.61991278636959e-05,0.00208167054761879,7.12553536999313,4.1777185301276,6.95101831547498,3.79816841036491
7.75880187492611e-05,4.05526688272135e-05,0.000733610771576905,3.81297432582156,6.33295562568098,3.66221787021924,5.85983421995971
7.75880187492611e-05,4.05526688272135e-05,0.000733610771576905,3.81297432582156,6.33295562568098,3.66221787021924,5.85983421995971
